weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,sunrise_hour,sunrise_minute,sunset_hour,sunset_minute,year,month,day,city_Colombo
2,31.5,23.5,26.9,34.8,26.1,30.1,22.63,0.0,0.0,0.0,0.0,14.8,32.4,11,4.9,7.0,79.899994,16.0,0,59,12,49,2010,2,3,1
2,31.6,23.3,27.0,36.5,26.0,30.2,22.04,0.0,0.0,0.0,0.0,11.3,22.7,356,4.94,7.0,79.899994,16.0,0,59,12,49,2010,2,4,1
1,31.9,23.5,27.2,35.6,25.3,29.9,22.9,0.0,0.0,0.0,0.0,14.2,25.9,3,5.32,7.0,79.899994,16.0,0,59,12,50,2010,2,5,1
2,32.4,23.2,27.4,36.7,25.3,30.0,23.62,0.0,0.0,0.0,0.0,12.8,24.5,18,5.39,7.0,79.899994,16.0,0,58,12,50,2010,2,6,1
2,32.1,23.2,27.2,35.2,24.4,29.0,20.43,0.0,0.0,0.0,0.0,15.0,25.9,14,5.4,7.0,79.899994,16.0,0,58,12,50,2010,2,7,1
3,32.3,22.8,27.5,35.2,24.1,30.0,22.94,0.0,0.0,0.0,0.0,14.2,28.8,12,5.27,7.0,79.899994,16.0,0,58,12,50,2010,2,8,1
53,28.7,24.1,26.6,31.9,26.2,30.0,8.65,1.1,1.1,0.0,3.0,9.2,18.4,311,2.11,7.0,79.899994,16.0,0,58,12,50,2010,2,9,1
55,31.9,24.7,28.3,36.9,29.4,32.7,19.84,2.0,2.0,0.0,5.0,12.0,27.0,337,4.43,7.0,79.899994,16.0,0,58,12,51,2010,2,10,1
51,31.6,24.6,27.5,35.3,29.3,32.2,11.41,0.7,0.7,0.0,4.0,9.3,20.5,23,2.76,7.0,79.899994,16.0,0,58,12,51,2010,2,11,1
51,29.8,24.5,26.9,33.4,29.1,31.3,10.23,0.7,0.7,0.0,3.0,10.5,25.9,20,2.45,7.0,79.899994,16.0,0,58,12,51,2010,2,12,1
61,32.8,24.0,27.5,38.2,28.7,32.6,18.43,3.6,3.6,0.0,6.0,9.6,28.4,47,4.01,7.0,79.899994,16.0,0,57,12,51,2010,2,13,1
1,32.8,23.7,27.8,38.1,28.0,32.4,22.33,0.0,0.0,0.0,0.0,9.2,22.3,224,4.85,7.0,79.899994,16.0,0,57,12,51,2010,2,14,1
51,33.6,24.5,28.5,38.1,29.5,32.6,23.54,0.1,0.1,0.0,1.0,12.8,25.9,272,5.29,7.0,79.899994,16.0,0,57,12,51,2010,2,15,1
55,32.6,24.8,28.0,37.0,29.3,32.6,18.14,2.6,2.6,0.0,8.0,5.7,25.6,329,3.89,7.0,79.899994,16.0,0,57,12,52,2010,2,16,1
63,33.1,24.5,28.0,38.7,29.9,33.3,17.65,6.8,6.8,0.0,6.0,6.3,24.5,208,3.81,7.0,79.899994,16.0,0,57,12,52,2010,2,17,1
63,30.6,24.2,26.8,37.9,29.6,32.4,17.77,19.7,19.7,0.0,8.0,13.1,27.7,257,3.66,7.0,79.899994,16.0,0,56,12,52,2010,2,18,1
51,31.9,24.1,27.7,37.6,29.0,32.8,19.63,0.1,0.1,0.0,1.0,8.5,22.7,223,4.18,7.0,79.899994,16.0,0,56,12,52,2010,2,19,1
51,31.0,24.9,27.6,36.5,30.5,32.9,17.11,0.9,0.9,0.0,6.0,13.2,25.6,235,3.67,7.0,79.899994,16.0,0,56,12,52,2010,2,20,1
2,33.9,23.7,28.3,39.3,28.5,33.3,24.15,0.0,0.0,0.0,0.0,10.6,20.2,281,5.24,7.0,79.899994,16.0,0,56,12,52,2010,2,21,1
3,34.7,23.0,28.5,40.2,27.5,33.2,24.75,0.0,0.0,0.0,0.0,15.8,35.6,239,5.57,7.0,79.899994,16.0,0,55,12,52,2010,2,22,1
51,32.6,25.2,28.1,37.7,30.1,33.0,21.71,0.3,0.3,0.0,2.0,14.2,29.9,262,4.78,7.0,79.899994,16.0,0,55,12,52,2010,2,23,1
53,30.1,24.9,27.2,35.5,29.6,32.0,18.25,3.6,3.6,0.0,13.0,11.5,25.6,222,3.8,7.0,79.899994,16.0,0,55,12,52,2010,2,24,1
1,32.1,24.4,27.7,37.7,29.0,32.2,24.78,0.0,0.0,0.0,0.0,13.4,26.3,187,5.25,7.0,79.899994,16.0,0,54,12,52,2010,2,25,1
3,32.8,24.6,28.1,37.3,29.6,32.8,20.91,0.0,0.0,0.0,0.0,12.3,26.6,298,4.61,7.0,79.899994,16.0,0,54,12,52,2010,2,26,1
2,33.5,23.8,28.0,38.1,28.7,32.5,22.54,0.0,0.0,0.0,0.0,11.0,24.1,221,4.94,7.0,79.899994,16.0,0,54,12,52,2010,2,27,1
51,32.5,24.6,28.2,37.7,29.4,33.1,21.06,0.1,0.1,0.0,1.0,13.4,27.0,251,4.61,7.0,79.899994,16.0,0,53,12,52,2010,2,28,1
2,33.1,24.2,28.1,38.1,29.2,32.5,24.36,0.0,0.0,0.0,0.0,13.0,28.4,248,5.35,7.0,79.899994,16.0,0,53,12,52,2010,3,1,1
2,32.5,24.2,28.0,36.8,28.5,32.0,23.43,0.0,0.0,0.0,0.0,14.1,30.6,249,5.18,7.0,79.899994,16.0,0,52,12,52,2010,3,2,1
1,32.9,24.5,28.4,37.7,28.9,32.4,25.5,0.0,0.0,0.0,0.0,11.8,26.3,223,5.75,7.0,79.899994,16.0,0,52,12,52,2010,3,3,1
51,30.5,25.2,27.7,35.1,29.7,32.0,20.39,1.7,1.7,0.0,6.0,14.6,31.3,214,4.38,7.0,79.899994,16.0,0,52,12,52,2010,3,4,1
2,31.9,22.9,27.2,36.6,26.7,31.2,25.4,0.0,0.0,0.0,0.0,14.5,32.4,202,5.5,7.0,79.899994,16.0,0,51,12,52,2010,3,5,1
3,31.8,23.4,27.8,34.9,27.7,31.3,21.79,0.0,0.0,0.0,0.0,13.9,29.5,207,5.02,7.0,79.899994,16.0,0,51,12,52,2010,3,6,1
3,33.0,24.7,29.0,36.8,29.8,33.7,19.83,0.0,0.0,0.0,0.0,15.5,33.8,274,4.66,7.0,79.899994,16.0,0,50,12,52,2010,3,7,1
51,32.9,26.6,29.2,38.5,31.3,34.2,18.48,0.9,0.9,0.0,6.0,12.3,23.8,189,4.42,7.0,79.899994,16.0,0,50,12,52,2010,3,8,1
